country,indicator,v1960,v1961,v1962,v1963,v1964,v1965,v1966,v1967,v1968,v1969,v1970,v1971,v1972,v1973,v1974,v1975,v1976,v1977,v1978,v1979,v1980,v1981,v1982,v1983,v1984,v1985,v1986,v1987,v1988,v1989,v1990,v1991,v1992,v1993,v1994,v1995,v1996,v1997,v1998,v1999,v2000,v2001,v2002,v2003,v2004,v2005,v2006,v2007,v2008,v2009,v2010,v2011,v2012,v2013,v2014,v2015,v2016,v2017,v2018,v2019,v2020,v2021,v2022,v2023,v2029,v2024,v2025,v2026,v2027,v2028,pop2029
ABW,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,NA,NA,NA,NA,NA,NA,NA
AES,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFA,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,EXCH,17.196560688,17.196560688,17.196560688,35.109644738,38.692261548,38.692261548,38.692261548,38.692261548,38.692261548,38.692261548,38.692261548,38.692261548,38.692261548,38.692261548,38.378708983,34.929630774,34.929630774,34.929630774,34.929630774,33.84616432,34.369458402,38.561658516,39.27642927,39.27642927,39.27642927,39.27642927,39.27642927,39.27642927,39.27642927,39.27642927,39.27642927,39.27642927,39.27642927,39.27642927,38.818463,36.567144624,47.5,47.5,47.5,46.619531077,47.357574731,47.500014516,47.263,48.762753583,47.8453125,49.4945975,49.925330833,49.96201777,50.249614744,50.325,46.452461001,46.74700774,50.9214,55.3775,57.2475,61.14346154,67.866085769,68.02690408,72.083247177,77.737949178,76.81353644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFN,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFS,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFZ,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,EXCH,2.87e-8,2.87e-8,2.87e-8,2.88e-8,2.88e-8,2.88e-8,2.88e-8,2.88e-8,2.87e-8,2.86e-8,2.86e-8,2.82e-8,2.71e-8,2.45e-8,2.54e-8,2.56e-8,2.94e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,5.51e-8,2.514e-7,2.6602e-6,5.9515e-5,0.0027502296,0.1280291667,0.2290400833,0.3928235175,2.7907061667,10.040544167,22.057861667,43.530206667,74.606300833,83.5413625,87.159141667,80.368072056,76.70614275,75.033354167,79.328166667,91.905720341,93.93475,95.467955421,96.51827948,98.30241686,120.0607017,163.65643412,165.9159507,252.85574773,364.82580498,578.2587803,631.4419555,460.5675116,685.0202378,NA,NA,NA,NA,NA,NA,NA
AIA,EXCH,1.7096170284,1.712910957,1.7095242519,1.714117763,1.718882995,1.7166056081,1.7184425663,1.7507247462,2.0052830967,2.0080879594,2.0033761096,1.9643663952,1.9218721471,1.9592192321,2.053232409,2.1697958333,2.6146708333,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,NA,NA,NA,NA,NA,NA,NA
