date_quarterly,year,export_usd,import_usd,trade_value,bilateral_tariff,tariff_reduction,cumulative_reduction,distance_km,contiguity,common_language,gravity_score,reporter_gdp_billion,reporter_population_million,reporter_trade_percent_gdp,partner_gdp_billion,partner_population_million,partner_trade_percent_gdp,hs_code,total_trade,trade_balance,gdp_reporter,gdp_partner,population_reporter,population_partner,rep_exchange_rate,rep_GDP-CAP,rep_gdp_ppp_current_usd,rep_GDP-PPP-CAP,rep_gdp_current_usd,rep_GDP-VOL,rep_population,rep_total_exports_usd_k,rep_total_imports_usd_k,rep_tariff_ahs_weighted,rep_tariff_mfn_weighted,par_exchange_rate,par_GDP-CAP,par_gdp_ppp_current_usd,par_GDP-PPP-CAP,par_gdp_current_usd,par_GDP-VOL,par_population,par_total_exports_usd_k,par_total_imports_usd_k,par_tariff_ahs_weighted,par_tariff_mfn_weighted,reporter_iso,partner_iso,quarter
2010-12-31,2010,138.3225,104.33625,298.8,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,999999.0,1642.47,328.49,3573.06,2858.45,1400000000.0,125000000.0,6.7702690287,4503.8219208,11884961.31,8793.5038005,6087192.374,7357040.383,1351.561514,1333059090.43,1937911681.5,7.09,7.77,87.779875,44927.71708,4862800.107,37935.71537,5759071.769,4568552.05,128.185275,595809643.87,829607541.18,6.33,7.08,CHN,JPN,4
2011-03-31,2011,195.1478625532656,142.3289952539056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,1
2011-06-30,2011,232.87253667846383,167.41247482472647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,2
2011-09-30,2011,253.6936938821544,181.16471102260851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,3
2011-12-31,2011,259.99,185.2925,342.9,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,999999.0,3219.36,643.87,1991.93,1593.54,1400000000.0,125000000.0,6.461461327,5551.5838494,13020073.2,9571.8190294,7551545.623,8059698.454,1360.250665,1616784547.02,2221071164.59,6.3,7.61,79.80701983,48659.803012,4863957.917,37971.064627,6233147.172,4569639.801,128.0964325,721993840.66,897524447.55,5.91,6.87,CHN,JPN,4
2012-03-31,2012,231.6901376249146,166.05860370491934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,1
2012-06-30,2012,169.28214417767387,123.64324287952311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,2
2012-09-30,2012,105.937099239176,80.59101849037127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,3
2012-12-31,2012,77.075,60.975,329.4,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,999999.0,775.0,155.0,943.73,754.99,1400000000.0,125000000.0,6.3123328268,6230.0521088,14043935.27,10254.634032,8532186.353,8693490.556,1369.520865,1624172572.65,2304480905.73,6.08,7.3,79.790455417,49030.306284,4930825.227,38543.667079,6272362.996,4632460.97,127.928285,735536916.49,883364655.11,5.99,6.91,CHN,JPN,4
2013-03-31,2013,111.30339306508458,83.51507288884547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,1
2013-06-30,2013,187.9775474405232,134.00651795980636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,2
2013-09-30,2013,266.0385486479769,185.4112290616862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,3
2013-12-31,2013,301.64875,208.86124999999998,312.6,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,999999.0,3771.48,754.3,859.56,687.65,1400000000.0,125000000.0,6.195758346,6940.1118887,15134607.87,10974.996099,9570470.1,9368639.773,1379.008041,1748337327.91,2397123775.55,5.94,7.23,97.59565828,40809.422254,5029693.213,39379.499335,5212328.181,4725346.453,127.7236455,708583475.97,806986724.3,6.18,7.23,CHN,JPN,4
2014-03-31,2014,274.6149133296231,190.85266358860923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,1
2014-06-30,2014,214.0571020913482,150.51208633846335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,2
2014-09-30,2014,152.40394902173944,109.44184728484876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,3
2014-12-31,2014,124.27875,90.70625000000001,312.5,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,999999.0,1407.38,281.48,869.29,695.43,1400000000.0,125000000.0,6.143434094,7547.5412128,16258469.72,11714.000231,10475624.71,10064333.83,1387.951972,1741960455.31,2529204919.96,6.01,6.88,105.944781,38411.834908,5044591.442,39569.580363,4896994.405,4739343.19,127.4866045,707208557.48,781230169.07,5.14,6.32,CHN,JPN,4
2015-03-31,2015,137.47812253456112,99.21877965218074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,1
2015-06-30,2015,169.35239581607902,119.8229059025387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,2
2015-09-30,2015,207.70088866486918,144.72544218073367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,3
2015-12-31,2015,239.22750000000002,165.42624999999998,285.7,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,999999.0,2951.53,590.31,1215.58,972.46,1400000000.0,125000000.0,6.227488673,7923.0013247,17403280.43,12465.335176,11061572.91,10772995.68,1396.134174,1537067593.05,2473581490.39,6.15,7.1,121.0440257,34923.592074,5123318.682,40253.652019,4444930.652,4813306.645,127.2758725,595680877.63,714588499.06,5.86,6.85,CHN,JPN,4
2016-03-31,2016,264.90732177522347,182.66012458938704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,1
2016-06-30,2016,290.87281488017766,200.25335955243264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,2
2016-09-30,2016,311.22543903772004,214.1151005346346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,3
2016-12-31,2016,319.4025,219.70125,282.8,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,999999.0,4030.03,806.01,4309.81,3447.85,1400000000.0,125000000.0,6.6444778294,8000.6364249,18595190.74,13243.941371,11233314.63,11510813.17,1404.052632,1525797542.12,2396469750.69,6.11,6.85,108.79290005,39349.477478,5161939.628,40594.067451,5003677.628,4849590.637,127.159951,570925547.86,728482296.73,5.48,6.45,CHN,JPN,4
2017-03-31,2017,285.1135219990386,196.8706361450785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,1
2017-06-30,2017,208.30365284676503,145.72835763174874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,2
2017-09-30,2017,130.10448211602582,93.66104111159666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,3
2017-12-31,2017,94.43125,69.90875,330.8,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,999999.0,983.92,196.78,4467.08,3573.67,1400000000.0,125000000.0,6.758755086,8716.288978,19887035.12,14080.76508,12310491.94,12310491.94,1412.354727,1787239787.13,2647117289.59,5.5,6.61,112.1661411,38805.724619,5248419.242,41305.096184,4930837.369,4930837.369,127.06469,612176156.0,787221806.07,4.9,6.2,CHN,JPN,4
2018-03-31,2018,125.00111311652192,90.28281617191536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,1
2018-06-30,2018,193.47988743044652,135.92224458301308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,2
2018-09-30,2018,263.1972743119453,182.3871779797541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,3
2018-12-31,2018,295.00125,203.58375,344.5,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,999999.0,3644.18,728.84,2436.92,1949.54,1400000000.0,125000000.0,6.6159571774,9791.9798119,21229364.47,14960.698014,13894907.05,13141421.97,1419.008956,1987292151.09,2862195428.63,5.57,6.7,110.42317934,39719.049747,5282187.1,41620.394279,5040880.939,4962561.934,126.9134325,668775926.91,831891680.53,5.1,6.6,CHN,JPN,4
2019-03-31,2019,277.62042259399976,192.11414525264962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,1
2019-06-30,2019,238.68607235539838,166.42137482806663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,2
2019-09-30,2019,199.04749550060797,140.26388539146103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,3
2019-12-31,2019,180.965,128.33124999999998,335.5,9.8,0.0,0.0,2103.0,0.0,0.0,-0.76511201757027,,,,,,,999999.0,2138.86,427.77,2057.98,1646.39,1400000000.0,125000000.0,6.9083850099,10031.446596,22526504.19,15824.504415,14279968.45,13944378.67,1423.520358,1924374506.81,2730865804.26,5.44,6.83,109.0096659,40394.768276,5260943.771,41523.028485,5117993.853,4942604.039,126.6994235,654804747.44,795029187.31,5.21,6.82,CHN,JPN,4
2020-03-31,2020,205.89611662766438,144.74834958969072,,9.76069523140405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,1
2020-06-30,2020,260.8752166144352,180.95199715647595,,9.697675291864684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,2
2020-09-30,2020,316.67982379643627,217.69923986336264,,9.611920003720847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,JPN,3
