reporter_name,reporter_code,year,classification,classification_version,product_code,mtn_categories,simple_average,binding_coverage,duty_free_share
Afghanistan,C004,,MTN,MT4,TOTAL,"All products",13.3848622669505,96.6771858177093,0.0900857718894009
Albania,C008,,MTN,MT4,TOTAL,"All products",6.6298538152331,100,0.326486356042324
Angola,C024,,MTN,MT4,TOTAL,"All products",59.1099931934905,100,0
"Antigua and Barbuda",C028,,MTN,MT4,TOTAL,"All products",59.4796101844074,95.1921291999257,0
Argentina,C032,,MTN,MT4,TOTAL,"All products",31.7735850370713,100,0.000191424196018377
Australia,C036,,MTN,MT4,TOTAL,"All products",9.42717158432287,97.2136817832437,0.24244230084997
"Bahrain, Kingdom of",C048,,MTN,MT4,TOTAL,"All products",34.9423601937473,70.2617412288844,0.0276895640686922
Bangladesh,C050,,MTN,MT4,TOTAL,"All products",155.129883843717,17.5793577130128,0.000527983104540655
Armenia,C051,,MTN,MT4,TOTAL,"All products",8.48915490567639,100,0.364305840427638
Barbados,C052,,MTN,MT4,TOTAL,"All products",78.8991387155486,95.1921291999257,0
"Bolivia, Plurinational State of",C068,,MTN,MT4,TOTAL,"All products",39.9755163993929,100,0
Botswana,C072,,MTN,MT4,TOTAL,"All products",18.6730580759389,93.818451828476,0.150323921646221
Brazil,C076,,MTN,MT4,TOTAL,"All products",31.3435450618423,100,0.00965175212829143
Belize,C084,,MTN,MT4,TOTAL,"All products",59.1334132521258,96.027473547429,0
"Solomon Islands",C090,,MTN,MT4,TOTAL,"All products",78.7723278767834,100,0
"Brunei Darussalam",C096,,MTN,MT4,TOTAL,"All products",25.3210501974214,95.4705773157602,0
Myanmar,C104,,MTN,MT4,TOTAL,"All products",82.7647153456608,18.6188973454613,0.0588235294117647
Burundi,C108,,MTN,MT4,TOTAL,"All products",68.6450216450216,22.4614813439762,0.0345729752066116
Cambodia,C116,,MTN,MT4,TOTAL,"All products",19.3372145705912,100,0.00794115463152033
Cameroon,C120,,MTN,MT4,TOTAL,"All products",79.8809523809524,14.0337850380546,0
Canada,C124,,MTN,MT4,TOTAL,"All products",6.54586234439924,99.6926032660903,0.404221275775679
"Cabo Verde",C132,,MTN,MT4,TOTAL,"All products",15.8909164235937,99.9814367922777,0.0452809506126996
"Central African Republic",C140,,MTN,MT4,TOTAL,"All products",35.7455613633418,61.3885279376276,0
"Sri Lanka",C144,,MTN,MT4,TOTAL,"All products",32.1238686915171,40.542045665491,0.00457875457875458
Chad,C148,,MTN,MT4,TOTAL,"All products",79.8769430051813,14.3307963616113,0
Chile,C152,,MTN,MT4,TOTAL,"All products",25.1462471381721,100,0.0000928160386114721
China,C156,,MTN,MT4,TOTAL,"All products",10.0121411592515,100,0.0663018775669861
"Chinese Taipei",C158,,MTN,MT4,TOTAL,"All products",6.78663278788527,100,0.303457974634896
Colombia,C170,,MTN,MT4,TOTAL,"All products",41.1423365010229,100,0.0466967729162542
Comoros,C174,,MTN,MT4,TOTAL,"All products",19.6388382396214,100,0.0456585014409222
Congo,C178,,MTN,MT4,TOTAL,"All products",27.3704520396913,16.836829404121,0
