Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,010129,"Horses; live, other than pure-bred breeding animals",1,No Quantity,,,,,3600,,9653,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",5,Number of items,318889,,,,32275177,,66106392,,,2
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,010420,Goats; live,1,No Quantity,,,,,2750,,2750,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",5,Number of items,122,,,,109,,356,,,2
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,010611,"Mammals; live, primates",5,Number of items,8,,,,2190,,21200,,,2
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,010614,"Mammals; live, rabbits and hares",5,Number of items,422,,,,439,,8161,,,2
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",1,No Quantity,,,,,103797,,96140,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,010620,Reptiles; live (including snakes and turtles),1,No Quantity,,,,,380253,,2699446,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,010632,"Birds; live, Psittaciformes",1,No Quantity,,,,,2899,,447717,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,010639,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",1,No Quantity,,,,,2787,,51564,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,010649,"Insects; live, other than bees",1,No Quantity,,,,,5196,,166216,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,010690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",1,No Quantity,,,,,133,,3044,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,020319,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",8,Weight in kilograms,36800,,,,36800,,16928,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,020641,"Offal, edible; of swine, livers, frozen",8,Weight in kilograms,12,,,,12,,10,,,0
