country,country_name,in_degree,out_degree,total_degree,betweenness,closeness,pagerank
China,China,0.0,1210.6,1210.6,0.0,0.0,0.04576659536119455
Japan,Japan,388.5,0.0,388.5,0.0,0.0001287001287001287,0.058250679076455
Korea,Korea,355.9,0.0,355.9,0.0,0.00014048890137679124,0.05720310860253611
Australia,Australia,221.7,0.0,221.7,0.0,0.00022552999548940014,0.05289071726511538
Thailand,Thailand,124.6,0.0,124.6,0.0,0.00040128410914927774,0.04977049968789069
Singapore,Singapore,119.9,0.0,119.9,0.0,0.0004170141784820684,0.04961946958889012
PHL,Philippines,0.0,0.0,0.0,0.0,0.0,0.04576659536119455
VNM,Vietnam,0.0,0.0,0.0,0.0,0.0,0.04576659536119455
THA,Thailand,0.0,0.0,0.0,0.0,0.0,0.04576659536119455
SGP,Singapore,0.0,0.0,0.0,0.0,0.0,0.04576659536119455
AUS,Australia,0.0,0.0,0.0,0.0,0.0,0.04576659536119455
BRN,Brunei,0.0,0.0,0.0,0.0,0.0,0.04576659536119455
MMR,Myanmar,0.0,0.0,0.0,0.0,0.0,0.04576659536119455
MYS,Malaysia,0.0,0.0,0.0,0.0,0.0,0.04576659536119455
LAO,Laos,0.0,0.0,0.0,0.0,0.0,0.04576659536119455
KOR,South Korea,0.0,0.0,0.0,0.0,0.0,0.04576659536119455
JPN,Japan,0.0,0.0,0.0,0.0,0.0,0.04576659536119455
IDN,Indonesia,0.0,0.0,0.0,0.0,0.0,0.04576659536119455
CHN,China,0.0,0.0,0.0,0.0,0.0,0.04576659536119455
KHM,Cambodia,0.0,0.0,0.0,0.0,0.0,0.04576659536119455
NZL,New Zealand,0.0,0.0,0.0,0.0,0.0,0.04576659536119455
