country_code,Country,year,indicator_name,series,value
ARE,United Arab Emirates,2005,GDP_CURRENT,NY.GDP.MKTP.CD,180617467964.602
ARE,United Arab Emirates,2005,GDP_GROWTH,NY.GDP.MKTP.KD.ZG,4.85514119553341
ARE,United Arab Emirates,2005,INFLATION,FP.CPI.TOTL.ZG,
ARE,United Arab Emirates,2005,REER,PX.REX.REER,
ARE,United Arab Emirates,2005,TRADE_GDP,NE.TRD.GNFS.ZS,119.552871642254
ARE,United Arab Emirates,2006,GDP_CURRENT,NY.GDP.MKTP.CD,222116541865.214
ARE,United Arab Emirates,2006,GDP_GROWTH,NY.GDP.MKTP.KD.ZG,9.83731976924005
ARE,United Arab Emirates,2006,INFLATION,FP.CPI.TOTL.ZG,
ARE,United Arab Emirates,2006,REER,PX.REX.REER,
ARE,United Arab Emirates,2006,TRADE_GDP,NE.TRD.GNFS.ZS,119.470669577786
ARE,United Arab Emirates,2007,GDP_CURRENT,NY.GDP.MKTP.CD,257916133424.098
ARE,United Arab Emirates,2007,GDP_GROWTH,NY.GDP.MKTP.KD.ZG,3.18439017324592
ARE,United Arab Emirates,2007,INFLATION,FP.CPI.TOTL.ZG,
ARE,United Arab Emirates,2007,REER,PX.REX.REER,
ARE,United Arab Emirates,2007,TRADE_GDP,NE.TRD.GNFS.ZS,136.798152865771
ARE,United Arab Emirates,2008,GDP_CURRENT,NY.GDP.MKTP.CD,315474615738.598
ARE,United Arab Emirates,2008,GDP_GROWTH,NY.GDP.MKTP.KD.ZG,3.19183627331763
ARE,United Arab Emirates,2008,INFLATION,FP.CPI.TOTL.ZG,12.2504202448139
ARE,United Arab Emirates,2008,REER,PX.REX.REER,
ARE,United Arab Emirates,2008,TRADE_GDP,NE.TRD.GNFS.ZS,148.513544025723
ARE,United Arab Emirates,2009,GDP_CURRENT,NY.GDP.MKTP.CD,253547358747.447
ARE,United Arab Emirates,2009,GDP_GROWTH,NY.GDP.MKTP.KD.ZG,-5.24292190384988
ARE,United Arab Emirates,2009,INFLATION,FP.CPI.TOTL.ZG,1.5618131744907
ARE,United Arab Emirates,2009,REER,PX.REX.REER,
ARE,United Arab Emirates,2009,TRADE_GDP,NE.TRD.GNFS.ZS,153.461944358373
ARE,United Arab Emirates,2010,GDP_CURRENT,NY.GDP.MKTP.CD,307736419332.88
ARE,United Arab Emirates,2010,GDP_GROWTH,NY.GDP.MKTP.KD.ZG,1.60285004671343
ARE,United Arab Emirates,2010,INFLATION,FP.CPI.TOTL.ZG,0.877983288285867
