reporter,partner,year,export_usd,import_usd,trade_value,source,data_type,verification_status,currency,unit,bilateral_tariff,tariff_reduction,cumulative_reduction,distance_km,contiguity,common_language,gravity_score,reporter_gdp_billion,reporter_population_million,reporter_trade_percent_gdp,partner_gdp_billion,partner_population_million,partner_trade_percent_gdp,dataset_version,integration_timestamp,data_authenticity,hs_code,total_trade,trade_balance,gdp_reporter,gdp_partner,population_reporter,population_partner,product_description,data_source,collection_timestamp,reporter_iso,partner_iso,rep_exchange_rate,rep_GDP-CAP,rep_gdp_ppp_current_usd,rep_GDP-PPP-CAP,rep_gdp_current_usd,rep_GDP-VOL,rep_population,rep_total_exports_usd_k,rep_total_imports_usd_k,rep_tariff_ahs_weighted,rep_tariff_mfn_weighted,par_exchange_rate,par_GDP-CAP,par_gdp_ppp_current_usd,par_GDP-PPP-CAP,par_gdp_current_usd,par_GDP-VOL,par_population,par_total_exports_usd_k,par_total_imports_usd_k,par_tariff_ahs_weighted,par_tariff_mfn_weighted
China,Japan,2010,121.1,177.7,298.8,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,JPN,6.7702690287,4503.8219208,11884961.31,8793.5038005,6087192.374,7357040.383,1351.561514,1333059090.43,1937911681.5,7.09,7.77,87.779875,44927.71708,4862800.107,37935.71537,5759071.769,4568552.05,128.185275,595809643.87,829607541.18,6.33,7.08
China,Japan,2011,148.3,194.6,342.9,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,JPN,6.461461327,5551.5838494,13020073.2,9571.8190294,7551545.623,8059698.454,1360.250665,1616784547.02,2221071164.59,6.3,7.61,79.80701983,48659.803012,4863957.917,37971.064627,6233147.172,4569639.801,128.0964325,721993840.66,897524447.55,5.91,6.87
China,Japan,2012,151.6,177.8,329.4,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,JPN,6.3123328268,6230.0521088,14043935.27,10254.634032,8532186.353,8693490.556,1369.520865,1624172572.65,2304480905.73,6.08,7.3,79.790455417,49030.306284,4930825.227,38543.667079,6272362.996,4632460.97,127.928285,735536916.49,883364655.11,5.99,6.91
China,Japan,2013,150.3,162.3,312.6,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,JPN,6.195758346,6940.1118887,15134607.87,10974.996099,9570470.1,9368639.773,1379.008041,1748337327.91,2397123775.55,5.94,7.23,97.59565828,40809.422254,5029693.213,39379.499335,5212328.181,4725346.453,127.7236455,708583475.97,806986724.3,6.18,7.23
China,Japan,2014,149.8,162.7,312.5,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,JPN,6.143434094,7547.5412128,16258469.72,11714.000231,10475624.71,10064333.83,1387.951972,1741960455.31,2529204919.96,6.01,6.88,105.944781,38411.834908,5044591.442,39569.580363,4896994.405,4739343.19,127.4866045,707208557.48,781230169.07,5.14,6.32
China,Japan,2015,142.9,142.8,285.7,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,JPN,6.227488673,7923.0013247,17403280.43,12465.335176,11061572.91,10772995.68,1396.134174,1537067593.05,2473581490.39,6.15,7.1,121.0440257,34923.592074,5123318.682,40253.652019,4444930.652,4813306.645,127.2758725,595680877.63,714588499.06,5.86,6.85
China,Japan,2016,137.2,145.6,282.8,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,JPN,6.6444778294,8000.6364249,18595190.74,13243.941371,11233314.63,11510813.17,1404.052632,1525797542.12,2396469750.69,6.11,6.85,108.79290005,39349.477478,5161939.628,40594.067451,5003677.628,4849590.637,127.159951,570925547.86,728482296.73,5.48,6.45
China,Japan,2017,165.1,165.7,330.8,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,JPN,6.758755086,8716.288978,19887035.12,14080.76508,12310491.94,12310491.94,1412.354727,1787239787.13,2647117289.59,5.5,6.61,112.1661411,38805.724619,5248419.242,41305.096184,4930837.369,4930837.369,127.06469,612176156.0,787221806.07,4.9,6.2
China,Japan,2018,173.5,171.0,344.5,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,,,,2103.0,0.0,0.0,-0.76511201757027,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,JPN,6.6159571774,9791.9798119,21229364.47,14960.698014,13894907.05,13141421.97,1419.008956,1987292151.09,2862195428.63,5.57,6.7,110.42317934,39719.049747,5282187.1,41620.394279,5040880.939,4962561.934,126.9134325,668775926.91,831891680.53,5.1,6.6
China,Japan,2019,164.4,171.1,335.5,IMF Direction of Trade Statistics,Bilateral Trade Flow,VERIFIED,USD,Billion USD,9.8,0.0,0.0,2103.0,0.0,0.0,-0.76511201757027,,,,,,,RCEP_Real_Data_2010_2023_v1.0,2025-11-19T00:54:05.181310,100_REAL_VERIFIED,999999,,,,,,,,,,CHN,JPN,6.9083850099,10031.446596,22526504.19,15824.504415,14279968.45,13944378.67,1423.520358,1924374506.81,2730865804.26,5.44,6.83,109.0096659,40394.768276,5260943.771,41523.028485,5117993.853,4942604.039,126.6994235,654804747.44,795029187.31,5.21,6.82
