country_code,Country,year,indicator_name,series,value
ARE,United Arab Emirates,2005,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,4.42
ARE,United Arab Emirates,2005,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,4.2
ARE,United Arab Emirates,2007,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.95
ARE,United Arab Emirates,2007,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.69
ARE,United Arab Emirates,2008,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.88
ARE,United Arab Emirates,2008,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.62
ARE,United Arab Emirates,2009,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.88
ARE,United Arab Emirates,2009,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.62
ARE,United Arab Emirates,2011,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.87
ARE,United Arab Emirates,2011,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.87
ARE,United Arab Emirates,2012,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.6
ARE,United Arab Emirates,2012,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.53
ARE,United Arab Emirates,2013,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.69
ARE,United Arab Emirates,2013,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.61
ARE,United Arab Emirates,2014,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.6
ARE,United Arab Emirates,2014,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.21
ARE,United Arab Emirates,2015,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.34
ARE,United Arab Emirates,2015,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,2.99
ARE,United Arab Emirates,2016,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.18
ARE,United Arab Emirates,2016,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,2.82
ARE,United Arab Emirates,2017,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,4.91
ARE,United Arab Emirates,2017,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,4.75
ARE,United Arab Emirates,2018,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,4.71
ARE,United Arab Emirates,2018,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,4.4
ARE,United Arab Emirates,2019,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,4.27
ARE,United Arab Emirates,2019,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.94
ARE,United Arab Emirates,2020,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.6
ARE,United Arab Emirates,2020,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.28
ARE,United Arab Emirates,2021,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.97
ARE,United Arab Emirates,2021,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,2.63
ARG,Argentina,2005,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,11.74
ARG,Argentina,2005,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,5.22
ARG,Argentina,2006,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,11.92
ARG,Argentina,2006,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,5.49
ARG,Argentina,2007,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,12.17
ARG,Argentina,2007,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,5.83
ARG,Argentina,2008,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,10.43
ARG,Argentina,2008,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,5.39
ARG,Argentina,2009,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,12.21
ARG,Argentina,2009,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,5.93
ARG,Argentina,2010,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,12.52
ARG,Argentina,2010,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,5.99
ARG,Argentina,2011,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,12.03
ARG,Argentina,2011,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,5.68
ARG,Argentina,2012,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,11.92
ARG,Argentina,2012,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,6.02
ARG,Argentina,2013,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,11.01
ARG,Argentina,2013,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,6.27
ARG,Argentina,2014,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,11.5
ARG,Argentina,2014,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,6.63
ARG,Argentina,2015,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,11.53
ARG,Argentina,2015,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,7.35
ARG,Argentina,2016,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,12.32
ARG,Argentina,2016,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,7.53
ARG,Argentina,2017,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,14.68
ARG,Argentina,2017,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,7.93
ARG,Argentina,2018,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,12.41
ARG,Argentina,2018,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,7.42
ARG,Argentina,2019,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,11.47
ARG,Argentina,2019,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,7.26
ARG,Argentina,2020,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,11.14
ARG,Argentina,2020,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,6.88
ARG,Argentina,2021,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,10.4
ARG,Argentina,2021,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,6.51
ARG,Argentina,2022,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,10.29
ARG,Argentina,2022,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,6.45
AUS,Australia,2005,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.3
AUS,Australia,2005,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.07
AUS,Australia,2006,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,4.09
AUS,Australia,2006,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.38
AUS,Australia,2007,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,4.26
AUS,Australia,2007,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.45
AUS,Australia,2008,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.88
AUS,Australia,2008,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.15
AUS,Australia,2009,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.96
AUS,Australia,2009,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.67
AUS,Australia,2010,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.61
AUS,Australia,2010,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,2.8
AUS,Australia,2011,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.47
AUS,Australia,2011,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,1.77
AUS,Australia,2012,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.58
AUS,Australia,2012,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,1.81
AUS,Australia,2013,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.63
AUS,Australia,2013,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,1.84
AUS,Australia,2014,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.69
AUS,Australia,2014,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,1.91
AUS,Australia,2015,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.72
AUS,Australia,2015,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,1.9
AUS,Australia,2016,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.71
AUS,Australia,2016,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,1.18
AUS,Australia,2017,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.9
AUS,Australia,2017,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.89
AUS,Australia,2018,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.86
AUS,Australia,2018,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.86
AUS,Australia,2019,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.72
AUS,Australia,2019,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.77
AUS,Australia,2020,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.73
AUS,Australia,2020,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.71
AUS,Australia,2021,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.86
AUS,Australia,2021,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.81
AUS,Australia,2022,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.84
AUS,Australia,2022,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.99
BGD,Bangladesh,2005,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,22.7
BGD,Bangladesh,2005,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,22.7
BGD,Bangladesh,2006,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,21.64
BGD,Bangladesh,2006,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,21.62
BGD,Bangladesh,2007,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,9.25
BGD,Bangladesh,2007,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,9.23
BGD,Bangladesh,2008,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,7.71
BGD,Bangladesh,2008,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,7.71
BGD,Bangladesh,2009,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,10.71
BGD,Bangladesh,2009,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,10.71
BGD,Bangladesh,2010,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,9.94
BGD,Bangladesh,2010,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,9.94
BGD,Bangladesh,2011,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,9.63
BGD,Bangladesh,2011,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,9.63
BGD,Bangladesh,2012,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,12.84
BGD,Bangladesh,2012,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,12.84
BGD,Bangladesh,2013,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,12.09
BGD,Bangladesh,2013,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,12.09
BGD,Bangladesh,2015,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,12.32
BGD,Bangladesh,2015,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,11.82
BGD,Bangladesh,2016,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,11.03
BGD,Bangladesh,2016,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,10.72
BGD,Bangladesh,2019,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,9.34
BGD,Bangladesh,2019,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,8.64
BGD,Bangladesh,2020,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,11.48
BGD,Bangladesh,2020,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,10.99
BGD,Bangladesh,2021,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,11.44
BGD,Bangladesh,2021,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,10.95
BGD,Bangladesh,2022,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,11.0
BGD,Bangladesh,2022,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,10.56
BRA,Brazil,2005,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,8.54
BRA,Brazil,2005,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,7.17
BRA,Brazil,2006,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,8.46
BRA,Brazil,2006,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,6.7
BRA,Brazil,2007,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,8.58
BRA,Brazil,2007,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,6.77
BRA,Brazil,2008,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,8.58
BRA,Brazil,2008,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,6.74
BRA,Brazil,2009,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,9.92
BRA,Brazil,2009,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,7.59
BRA,Brazil,2010,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,10.09
BRA,Brazil,2010,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,7.76
BRA,Brazil,2011,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,10.1
BRA,Brazil,2011,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,7.84
BRA,Brazil,2012,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,10.12
BRA,Brazil,2012,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,7.76
BRA,Brazil,2013,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,10.08
BRA,Brazil,2013,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,10.08
BRA,Brazil,2014,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,9.92
BRA,Brazil,2014,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,7.79
BRA,Brazil,2015,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,10.32
BRA,Brazil,2015,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,8.27
BRA,Brazil,2016,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,10.19
BRA,Brazil,2016,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,8.01
BRA,Brazil,2017,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,10.87
BRA,Brazil,2017,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,8.59
BRA,Brazil,2018,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,10.99
BRA,Brazil,2018,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,7.95
BRA,Brazil,2019,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,10.82
BRA,Brazil,2019,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,7.97
BRA,Brazil,2020,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,10.25
BRA,Brazil,2020,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,8.41
BRA,Brazil,2021,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,9.61
BRA,Brazil,2021,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,7.76
BRA,Brazil,2022,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,9.06
BRA,Brazil,2022,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,7.26
BRN,Brunei Darussalam,2005,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,6.2
BRN,Brunei Darussalam,2005,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,5.85
BRN,Brunei Darussalam,2006,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.94
BRN,Brunei Darussalam,2006,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,5.46
BRN,Brunei Darussalam,2007,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.71
BRN,Brunei Darussalam,2007,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,5.24
BRN,Brunei Darussalam,2008,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.02
BRN,Brunei Darussalam,2008,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,1.52
BRN,Brunei Darussalam,2009,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.51
BRN,Brunei Darussalam,2009,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,1.42
BRN,Brunei Darussalam,2010,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.51
BRN,Brunei Darussalam,2010,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,2.51
BRN,Brunei Darussalam,2011,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.45
BRN,Brunei Darussalam,2011,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.95
BRN,Brunei Darussalam,2014,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,1.13
BRN,Brunei Darussalam,2014,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.46
BRN,Brunei Darussalam,2016,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,1.19
BRN,Brunei Darussalam,2016,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.5
BRN,Brunei Darussalam,2017,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,0.12
BRN,Brunei Darussalam,2017,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.03
BRN,Brunei Darussalam,2018,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,0.11
BRN,Brunei Darussalam,2018,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.03
BRN,Brunei Darussalam,2019,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,0.08
BRN,Brunei Darussalam,2019,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.02
BRN,Brunei Darussalam,2020,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,0.08
BRN,Brunei Darussalam,2020,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.02
BRN,Brunei Darussalam,2021,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,0.1
BRN,Brunei Darussalam,2021,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.02
BRN,Brunei Darussalam,2022,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,0.05
BRN,Brunei Darussalam,2022,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.01
CHL,Chile,2005,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.95
CHL,Chile,2005,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.99
CHL,Chile,2006,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.89
CHL,Chile,2006,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,2.36
CHL,Chile,2007,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.92
CHL,Chile,2007,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,2.95
CHL,Chile,2008,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.91
CHL,Chile,2008,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,2.27
CHL,Chile,2009,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.94
CHL,Chile,2009,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,1.92
CHL,Chile,2010,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.94
CHL,Chile,2010,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,2.08
CHL,Chile,2011,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.92
CHL,Chile,2011,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,1.98
CHL,Chile,2012,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.83
CHL,Chile,2012,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,1.78
CHL,Chile,2013,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.89
CHL,Chile,2013,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,5.89
CHL,Chile,2015,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.9
CHL,Chile,2015,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.64
CHL,Chile,2016,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.89
CHL,Chile,2016,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,5.89
CHL,Chile,2017,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.97
CHL,Chile,2017,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.49
CHL,Chile,2018,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.98
CHL,Chile,2018,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.49
CHL,Chile,2019,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.97
CHL,Chile,2019,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.43
CHL,Chile,2020,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.97
CHL,Chile,2020,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.43
CHL,Chile,2021,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.99
CHL,Chile,2021,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.43
CHL,Chile,2022,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.99
CHL,Chile,2022,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,0.46
CHN,China,2005,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,4.9
CHN,China,2005,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,4.87
CHN,China,2006,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,4.4
CHN,China,2006,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,4.25
CHN,China,2007,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.48
CHN,China,2007,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,5.07
CHN,China,2008,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,4.87
CHN,China,2008,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,4.47
CHN,China,2009,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.97
CHN,China,2009,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.94
CHN,China,2010,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.3
CHN,China,2010,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,4.65
CHN,China,2011,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,6.97
CHN,China,2011,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,5.99
CHN,China,2014,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.6
CHN,China,2014,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,4.74
CHN,China,2015,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.58
CHN,China,2015,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,4.52
CHN,China,2016,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,4.29
CHN,China,2016,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.54
CHN,China,2017,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,4.89
