reporter_iso,partner_iso,quarter_t,date_quarterly,year,quarter,export_usd,import_usd,trade_value,bilateral_tariff,tariff_reduction,cumulative_reduction,distance_km,contiguity,common_language,gravity_score,reporter_gdp_billion,reporter_population_million,reporter_trade_percent_gdp,partner_gdp_billion,partner_population_million,partner_trade_percent_gdp,hs_code,total_trade,trade_balance,gdp_reporter,gdp_partner,population_reporter,population_partner,rep_exchange_rate,rep_GDP-CAP,rep_gdp_ppp_current_usd,rep_GDP-PPP-CAP,rep_gdp_current_usd,rep_GDP-VOL,rep_population,rep_total_exports_usd_k,rep_total_imports_usd_k,rep_tariff_ahs_weighted,rep_tariff_mfn_weighted,par_exchange_rate,par_GDP-CAP,par_gdp_ppp_current_usd,par_GDP-PPP-CAP,par_gdp_current_usd,par_GDP-VOL,par_population,par_total_exports_usd_k,par_total_imports_usd_k,par_tariff_ahs_weighted,par_tariff_mfn_weighted,date
AUS,BRN,2010Q4,2010-12-31,2010,4,21.9225,14.615,,,,,,,,,,,,,,,999999.0,146.15,29.23,2355.37,543.55,25000000.0,400000.0,1.0901594864,58772.871792,1039914.883,46966.605794,1301324.272,1168287.205,22.1415805,207856459.01,220529973.43,4.51,6.3,1.3635094737,34937.961369,26331.28644,67114.806949,13707.28026,12334.41748,0.392332,3344589.07,8983212.87,1.2,2.69,2010-12-31
AUS,BRN,2011Q1,2011-03-31,2011,1,16.56337838742394,11.0430883687119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-03-31
AUS,BRN,2011Q2,2011-06-30,2011,2,12.731666072860406,8.489124516127658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-06-30
AUS,BRN,2011Q3,2011-09-30,2011,3,10.435358625305856,6.958505750713362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-09-30
AUS,BRN,2011Q4,2011-12-31,2011,4,9.68,6.455,,,,,,,,,,,,,,,999999.0,64.54,12.91,1552.72,358.32,25000000.0,400000.0,0.969463201,68867.541468,1080663.008,48072.679019,1548126.837,1214065.484,22.479775,258002208.68,280827540.1,4.25,6.35,1.25791302,46383.730453,27317.47695,68398.256209,18525.12853,12796.38068,0.3993885,6578067.06,12479651.6,1.62,4.1,2011-12-31
AUS,BRN,2012Q1,2012-03-31,2012,1,11.731146299853451,7.821915146838037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-03-31
AUS,BRN,2012Q2,2012-06-30,2012,2,16.254416524421117,10.83629134401362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-06-30
AUS,BRN,2012Q3,2012-09-30,2012,3,20.8456033230551,13.895928180968648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-30
AUS,BRN,2012Q4,2012-12-31,2012,4,22.9375,15.29,,,,,,,,,,,,,,,999999.0,152.91,30.58,1901.31,438.76,25000000.0,400000.0,0.9658010307,69658.716777,1108827.231,48520.741451,1591885.856,1245706.44,22.852644,267620134.91,276014920.35,4.97,6.83,1.2495670165,46968.655021,27566.84226,67972.877417,19048.44334,12913.19137,0.4055565,7091004.52,13322471.33,1.57,2.88,2012-12-31
AUS,BRN,2013Q1,2013-03-31,2013,1,20.880660478847968,13.919027677453684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-31
AUS,BRN,2013Q2,2013-06-30,2013,2,16.273186482904347,10.847947381528313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-06-30
AUS,BRN,2013Q3,2013-09-30,2013,3,11.582374616893352,7.721318797995975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-09-30
AUS,BRN,2013Q4,2013-12-31,2013,4,9.4425,6.295,,,,,,,,,,,,,,,999999.0,62.96,12.59,1865.1,430.41,25000000.0,400000.0,1.035843097,66462.517511,1137738.803,48963.916262,1544341.035,1278187.002,23.2362705,254152356.16,273047221.42,5.22,7.08,1.25116567,44003.486413,26980.76333,65614.377678,18094.32162,12638.65324,0.411202,8411525.98,11208752.1,1.29,2.6,2013-12-31
AUS,BRN,2014Q1,2014-03-31,2014,1,13.72269235663223,9.14820754619978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-03-31
AUS,BRN,2014Q2,2014-06-30,2014,2,23.31064259680168,15.539605338275706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-06-30
AUS,BRN,2014Q3,2014-09-30,2014,3,33.072015270181,22.04660779338693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-30
AUS,BRN,2014Q4,2014-12-31,2014,4,37.525,25.015,,,,,,,,,,,,,,,999999.0,250.16,50.03,437.45,100.95,25000000.0,400000.0,1.109363293,62069.346868,1162789.651,49279.934664,1464563.512,1306330.253,23.5956005,245996985.03,267777740.11,4.06,6.24,1.267040123,41026.472074,26303.99066,63116.878468,17097.80275,12321.63126,0.4167505,6155924.88,10291549.67,0.07,2.67,2014-12-31
AUS,BRN,2015Q1,2015-03-31,2015,1,33.73710787703365,22.48986559713329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-31
AUS,BRN,2015Q2,2015-06-30,2015,2,25.251946892655074,16.833376124899424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-30
AUS,BRN,2015Q3,2015-09-30,2015,3,16.613310219810437,11.0745746732405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-09-30
AUS,BRN,2015Q4,2015-12-31,2015,4,12.6725,8.4475,,,,,,,,,,,,,,,999999.0,84.48,16.9,681.96,157.37,25000000.0,400000.0,1.331090262,52041.863534,1195105.234,49904.172966,1246298.652,1342635.034,23.948002,222282357.96,210429474.1,5.22,7.17,1.374910845,30625.152299,26200.77808,62056.050297,12930.29149,12273.28318,0.4222115,5753928.35,6318887.29,0.09,2.65,2015-12-31
