iso3,year,exchange_rate,GDP-CAP,gdp_ppp_current_usd,GDP-PPP-CAP,gdp_current_usd,GDP-VOL,population,total_exports_usd_k,total_imports_usd_k,tariff_ahs_weighted,tariff_mfn_weighted
ABW,2005,1.79,25045.286193,3875.602152,41129.174912,2360.017318,2924.433359,0.09423,,,,
ABW,2006,1.79,25890.742794,3919.296161,41085.999015,2469.782682,2957.403776,0.0953925,,,,
ABW,2007,1.79,27722.585244,4040.384536,41831.556379,2677.641341,3048.774063,0.096587,,,,
ABW,2008,1.79,29068.443487,4114.556125,42069.190324,2843.024581,3104.742106,0.0978045,,,,
ABW,2009,1.79,25789.249193,3634.068874,36698.313808,2553.793296,2742.178332,0.0990255,,,,
ABW,2010,1.79,24508.155314,3534.733211,35307.258372,2453.597207,2667.222102,0.1001135,,,,
ABW,2011,1.79,26122.332102,3653.82679,36183.309633,2637.859218,2757.087166,0.100981,,,,
ABW,2012,1.79,25698.883981,3615.797756,35531.381645,2615.20838,2728.391399,0.1017635,,,,
ABW,2013,1.79,26598.247042,3848.347132,37523.800132,2727.849721,2903.867396,0.1025575,,,,
ABW,2014,1.79,26997.989997,3787.290232,36637.309072,2790.849721,2857.795372,0.1033725,,,,
ABW,2015,1.79,28439.040961,3763.67172,36125.063901,2962.907263,2839.973428,0.1041845,,,,
ABW,2016,1.79,28421.934395,3828.392725,36469.045215,2983.635196,2888.810295,0.1049765,,,,
ABW,2017,1.79,29248.221185,4098.23826,38761.17355,3092.42905,3092.42905,0.1057305,,,,
ABW,2018,1.79,30781.948643,4195.847236,39422.797993,3276.184358,3166.082364,0.106432,,,,
ABW,2019,1.79,31713.912389,4099.22372,38283.310172,3395.798883,3093.172654,0.107076,,,,
ABW,2020,1.79,23825.832319,3116.124098,29014.055782,2558.906304,2351.350037,0.1074005,,,,
ABW,2021,1.79,28851.262593,3977.40076,36979.125309,3103.184102,3001.248066,0.107558,,,,
ABW,2022,1.79,32887.752946,4393.369954,40761.62953,3544.707788,3315.128114,0.107782,,,,
ABW,2023,1.79,36471.467326,4626.674136,42863.983991,3936.675476,3491.173669,0.1079385,,,,
ABW,2024,,37649.986305,4677.118283,43280.402006,4068.664595,3529.237572,0.1080655,,,,
