date,reporter_iso,partner_iso,H,W_type,A,TC,bilateral_tariff,tariff_reduction,TC_relief,qtr,pair,origin_time,dest_time
2016-03-31,BRN,AUS,8,Time-Varying,0.8197660288905131,0.0,14.69878826707639,0.0,0.0,2016Qq,BRN_AUS,BRN_2016Qq,AUS_2016Qq
2016-03-31,KHM,AUS,8,Time-Varying,0.37983085203115025,0.0,13.660638895004084,0.0,0.0,2016Qq,KHM_AUS,KHM_2016Qq,AUS_2016Qq
2016-03-31,CHN,AUS,8,Time-Varying,0.3319146421589065,0.0,5.580836121681995,0.0,0.0,2016Qq,CHN_AUS,CHN_2016Qq,AUS_2016Qq
2016-03-31,IDN,AUS,8,Time-Varying,0.24843291663166425,0.0,13.49223410494178,0.0,0.0,2016Qq,IDN_AUS,IDN_2016Qq,AUS_2016Qq
2016-03-31,JPN,AUS,8,Time-Varying,0.24768098012039336,0.0,10.467102793432796,0.0,0.0,2016Qq,JPN_AUS,JPN_2016Qq,AUS_2016Qq
2016-03-31,KOR,AUS,8,Time-Varying,0.05995870233272636,0.0,6.1959424593830175,0.0,0.0,2016Qq,KOR_AUS,KOR_2016Qq,AUS_2016Qq
2016-03-31,LAO,AUS,8,Time-Varying,0.4899548819636721,0.0,9.03482866212397,0.0,0.0,2016Qq,LAO_AUS,LAO_2016Qq,AUS_2016Qq
2016-03-31,MYS,AUS,8,Time-Varying,0.12108274959711024,0.0,14.900538501042632,0.0,0.0,2016Qq,MYS_AUS,MYS_2016Qq,AUS_2016Qq
2016-03-31,MMR,AUS,8,Time-Varying,0.6387398266253734,0.0,6.723198712016298,0.0,0.0,2016Qq,MMR_AUS,MMR_2016Qq,AUS_2016Qq
2016-03-31,NZL,AUS,8,Time-Varying,0.37438510649183376,0.0,8.867353463005374,0.0,0.0,2016Qq,NZL_AUS,NZL_2016Qq,AUS_2016Qq
2016-03-31,PHL,AUS,8,Time-Varying,0.21095668441951576,0.0,11.374299014982066,0.0,0.0,2016Qq,PHL_AUS,PHL_2016Qq,AUS_2016Qq
2016-03-31,SGP,AUS,8,Time-Varying,0.11197274560969739,0.0,11.158500980522165,0.0,0.0,2016Qq,SGP_AUS,SGP_2016Qq,AUS_2016Qq
2016-03-31,THA,AUS,8,Time-Varying,0.20366074810711518,0.0,6.774395437797228,0.0,0.0,2016Qq,THA_AUS,THA_2016Qq,AUS_2016Qq
2016-03-31,VNM,AUS,8,Time-Varying,0.04517526993693114,0.0,6.170670164276059,0.0,0.0,2016Qq,VNM_AUS,VNM_2016Qq,AUS_2016Qq
2016-03-31,AUS,BRN,8,Time-Varying,0.07005755751298266,0.0,11.721355474058786,0.0,0.0,2016Qq,AUS_BRN,AUS_2016Qq,BRN_2016Qq
