date,reporter_iso,partner_iso,A,S_total,HL
2016-03-31,BRN,AUS,0.9428386991210412,0.0770852301471174,0.0
2016-03-31,KHM,AUS,0.6503498231188957,0.08306242331605052,0.0
2016-03-31,CHN,AUS,0.42220826048065896,0.05219102078348853,0.0
2016-03-31,IDN,AUS,0.21079849010860816,0.09090553075388616,0.0
2016-03-31,JPN,AUS,0.3104966816195103,0.07053005218617465,0.0
2016-03-31,KOR,AUS,0.40579356124571636,0.05752137555756405,0.0
2016-03-31,LAO,AUS,0.7476723188414092,0.07972204314277051,0.0
2016-03-31,MYS,AUS,0.3535120856450903,0.05943745600367502,0.0
2016-03-31,MMR,AUS,0.5030830059294725,0.06542055340968955,0.0
2016-03-31,NZL,AUS,0.15988262864731795,0.051380341955639286,0.0
2016-03-31,PHL,AUS,0.0330299185093731,0.04479465193793306,0.0
2016-03-31,SGP,AUS,0.5249158733901562,0.05710488139310229,0.0
2016-03-31,THA,AUS,0.07721685593089886,0.07832730186945136,0.0
2016-03-31,VNM,AUS,0.33925727764802904,0.025282895159464216,0.0
2016-03-31,AUS,BRN,0.7944588738188411,0.0063212466726555675,0.0
2016-03-31,KHM,BRN,-0.09750899572757708,0.03627371110431806,4.0
2016-03-31,CHN,BRN,0.4327912190823528,0.007254179764061267,0.0
2016-03-31,IDN,BRN,0.4121711001598823,0.013690288549091309,0.0
2016-03-31,JPN,BRN,0.5300547083016334,0.008045500584648941,0.0
2016-03-31,KOR,BRN,0.8185121334873731,0.005625543576994028,0.0
2016-03-31,LAO,BRN,0.7156697242967203,0.008661246558160958,0.0
2016-03-31,MYS,BRN,0.8503825854981066,0.0066738845403900475,0.0
2016-03-31,MMR,BRN,0.4087842720305156,0.009191312218874962,0.0
2016-03-31,NZL,BRN,0.230400999396161,0.013330881265001437,0.0
2016-03-31,PHL,BRN,0.581185044001576,0.00519576713328427,0.0
2016-03-31,SGP,BRN,0.7958585554743298,0.006165170023635577,0.0
2016-03-31,THA,BRN,0.9667271945605936,0.007764693602162461,0.0
2016-03-31,VNM,BRN,0.055457489981266456,0.0036461692523048245,5.0
2016-03-31,AUS,KHM,0.5833995349601884,0.030177678390972025,0.0
2016-03-31,BRN,KHM,0.09886902746601398,0.06485615465817439,5.0
2016-03-31,CHN,KHM,0.849576507909946,0.02212230976297129,0.0
2016-03-31,IDN,KHM,0.5672928917985132,0.04888957759539731,0.0
2016-03-31,JPN,KHM,0.06845517342644923,0.035953677809108006,0.0
2016-03-31,KOR,KHM,0.11988762619948319,0.029710075578677286,0.0
2016-03-31,LAO,KHM,0.8166717736256913,0.03785874513870857,0.0
