reporter_iso,partner_iso,quarter_t,export_usd,import_usd,bilateral_tariff
CHN,JPN,2005Q1,,,
CHN,JPN,2005Q2,,,
CHN,JPN,2005Q3,,,
CHN,JPN,2005Q4,,,
CHN,JPN,2006Q1,,,
CHN,JPN,2006Q2,,,
CHN,JPN,2006Q3,,,
CHN,JPN,2006Q4,,,
CHN,JPN,2007Q1,,,
CHN,JPN,2007Q2,,,
CHN,JPN,2007Q3,,,
CHN,JPN,2007Q4,,,
CHN,JPN,2008Q1,,,
CHN,JPN,2008Q2,,,
CHN,JPN,2008Q3,,,
CHN,JPN,2008Q4,,,
CHN,JPN,2009Q1,,,
CHN,JPN,2009Q2,,,
CHN,JPN,2009Q3,,,
CHN,JPN,2009Q4,,,
CHN,JPN,2010Q1,96.1813348143535,76.09909438871506,
CHN,JPN,2010Q2,128.9209746905892,97.75244898119172,
CHN,JPN,2010Q3,154.69231993811786,115.16292729623837,
CHN,JPN,2010Q4,173.4953705569394,128.33052933385488,
CHN,JPN,2011Q1,241.77270948475189,173.69741042836154,
CHN,JPN,2011Q2,309.0437181511388,217.7598124537493,
CHN,JPN,2011Q3,293.6255043331935,207.32370101269385,
CHN,JPN,2011Q4,195.51806803091586,142.38907610519516,
CHN,JPN,2012Q1,92.03286350761596,72.02322475338133,
CHN,JPN,2012Q2,60.1784967943604,48.60811542633746,
CHN,JPN,2012Q3,61.147816643371925,49.26744533647798,
CHN,JPN,2012Q4,94.94082305465167,74.00121448380332,
CHN,JPN,2013Q1,224.58732258177747,159.91882858308372,
CHN,JPN,2013Q2,352.08323252191394,241.75888550194554,
CHN,JPN,2013Q3,365.3967049700691,249.78127845943095,
CHN,JPN,2013Q4,264.5277399262395,183.9860074555395,
CHN,JPN,2014Q1,146.02150943353672,105.86890829642562,
CHN,JPN,2014Q2,108.76298748223053,80.20111319424132,
CHN,JPN,2014Q3,105.64948902434753,77.87235244890735,
CHN,JPN,2014Q4,136.68101405988546,98.88262606042554,
CHN,JPN,2015Q1,190.23726403836963,133.90946669834966,
CHN,JPN,2015Q2,233.2261556551539,161.15708684544688,
CHN,JPN,2015Q3,260.7219458083914,179.05006007354996,
CHN,JPN,2015Q4,272.7246344980849,187.58838638265343,
CHN,JPN,2016Q1,326.173724346515,223.59158393399184,
CHN,JPN,2016Q2,376.5287622224405,257.1470559924469,
CHN,JPN,2016Q3,344.58001893796336,236.4789860292267,
CHN,JPN,2016Q4,230.32749449308085,161.58737404433487,
CHN,JPN,2017Q1,114.18833095718583,83.84104893225322,
CHN,JPN,2017Q2,76.024329711473,56.97094417575772,
CHN,JPN,2017Q3,75.34924937714277,56.47369762175185,
CHN,JPN,2017Q4,112.16308995419877,82.34930927023743,
CHN,JPN,2018Q1,222.79016978463187,156.26623308291892,
CHN,JPN,2018Q2,326.5843824278645,224.22690397622046,
CHN,JPN,2018Q3,346.8983563216161,237.56408544665192,
CHN,JPN,2018Q4,283.7320914658876,196.27777749420875,
CHN,JPN,2019Q1,194.90041325488528,137.65933111222603,9.810373596852438
CHN,JPN,2019Q2,160.83347596994554,114.78250814334933,9.810265416342844
CHN,JPN,2019Q3,163.93153135752982,116.89283851556047,9.783267099702083
CHN,JPN,2019Q4,204.19457941763903,143.990322228864,9.731419047551897
CHN,JPN,2020Q1,288.4315630407664,199.41945166396454,
CHN,JPN,2020Q2,358.04025406274195,244.64513757406257,
CHN,JPN,2020Q3,376.9105955109899,257.0553429550491,
CHN,JPN,2020Q4,345.042587385502,236.6500678069242,
CHN,JPN,2021Q1,308.74912661787675,213.68424481066086,
CHN,JPN,2021Q2,298.0844108982783,207.09980462794465,
CHN,JPN,2021Q3,281.76264214020193,196.11277990864073,
CHN,JPN,2021Q4,259.7838203436422,180.72317065275365,
CHN,JPN,2022Q1,250.91400686005,174.06753767525515,8.483214582863265
CHN,JPN,2022Q2,243.4783696675495,168.73172494614482,8.295091209814563
CHN,JPN,2022Q3,212.87343140374833,147.8720936354448,8.09674097237891
CHN,JPN,2022Q4,159.09919206865197,111.48864374315508,7.84939625874323
CHN,JPN,2023Q1,120.35574989975248,85.09540240177012,7.562919005245939
