iso3,variable,n_quarters,n_missing,n_valid
AUS,gdp_current_usd,73,0,73
AUS,total_exports_usd_k,73,0,73
AUS,total_imports_usd_k,73,0,73
AUS,population,73,0,73
AUS,tariff_ahs_weighted,73,6,67
AUS,tariff_mfn_weighted,73,6,67
AUS,vax_q,73,0,73
AUS,TCU,73,14,59
BRN,gdp_current_usd,73,0,73
BRN,total_exports_usd_k,73,0,73
BRN,total_imports_usd_k,73,0,73
BRN,population,73,0,73
BRN,tariff_ahs_weighted,73,6,67
BRN,tariff_mfn_weighted,73,6,67
BRN,vax_q,73,0,73
BRN,TCU,73,14,59
KHM,gdp_current_usd,73,0,73
KHM,total_exports_usd_k,73,0,73
KHM,total_imports_usd_k,73,0,73
KHM,population,73,0,73
KHM,tariff_ahs_weighted,73,6,67
KHM,tariff_mfn_weighted,73,6,67
KHM,vax_q,73,0,73
KHM,TCU,73,14,59
CHN,gdp_current_usd,73,0,73
CHN,total_exports_usd_k,73,0,73
CHN,total_imports_usd_k,73,0,73
CHN,population,73,0,73
CHN,tariff_ahs_weighted,73,6,67
CHN,tariff_mfn_weighted,73,6,67
CHN,vax_q,73,0,73
CHN,TCU,73,14,59
IDN,gdp_current_usd,73,0,73
IDN,total_exports_usd_k,73,0,73
IDN,total_imports_usd_k,73,0,73
IDN,population,73,0,73
IDN,tariff_ahs_weighted,73,6,67
IDN,tariff_mfn_weighted,73,6,67
IDN,vax_q,73,0,73
IDN,TCU,73,14,59
JPN,gdp_current_usd,73,0,73
JPN,total_exports_usd_k,73,0,73
JPN,total_imports_usd_k,73,0,73
JPN,population,73,0,73
JPN,tariff_ahs_weighted,73,6,67
JPN,tariff_mfn_weighted,73,6,67
JPN,vax_q,73,0,73
JPN,TCU,73,14,59
KOR,gdp_current_usd,73,0,73
KOR,total_exports_usd_k,73,0,73
KOR,total_imports_usd_k,73,0,73
KOR,population,73,0,73
KOR,tariff_ahs_weighted,73,6,67
KOR,tariff_mfn_weighted,73,6,67
KOR,vax_q,73,0,73
KOR,TCU,73,14,59
LAO,gdp_current_usd,73,0,73
LAO,total_exports_usd_k,73,0,73
LAO,total_imports_usd_k,73,0,73
LAO,population,73,0,73
LAO,tariff_ahs_weighted,73,6,67
LAO,tariff_mfn_weighted,73,6,67
LAO,vax_q,73,0,73
LAO,TCU,73,14,59
MYS,gdp_current_usd,73,0,73
MYS,total_exports_usd_k,73,0,73
MYS,total_imports_usd_k,73,0,73
MYS,population,73,0,73
MYS,tariff_ahs_weighted,73,6,67
MYS,tariff_mfn_weighted,73,6,67
MYS,vax_q,73,0,73
MYS,TCU,73,14,59
MMR,gdp_current_usd,73,0,73
MMR,total_exports_usd_k,73,0,73
MMR,total_imports_usd_k,73,0,73
MMR,population,73,0,73
MMR,tariff_ahs_weighted,73,6,67
MMR,tariff_mfn_weighted,73,6,67
MMR,vax_q,73,0,73
MMR,TCU,73,14,59
NZL,gdp_current_usd,73,0,73
NZL,total_exports_usd_k,73,0,73
NZL,total_imports_usd_k,73,0,73
NZL,population,73,0,73
NZL,tariff_ahs_weighted,73,6,67
NZL,tariff_mfn_weighted,73,6,67
NZL,vax_q,73,0,73
NZL,TCU,73,14,59
PHL,gdp_current_usd,73,0,73
PHL,total_exports_usd_k,73,0,73
PHL,total_imports_usd_k,73,0,73
PHL,population,73,0,73
PHL,tariff_ahs_weighted,73,6,67
PHL,tariff_mfn_weighted,73,6,67
PHL,vax_q,73,0,73
PHL,TCU,73,14,59
SGP,gdp_current_usd,73,0,73
SGP,total_exports_usd_k,73,0,73
SGP,total_imports_usd_k,73,0,73
SGP,population,73,0,73
SGP,tariff_ahs_weighted,73,6,67
SGP,tariff_mfn_weighted,73,6,67
SGP,vax_q,73,0,73
SGP,TCU,73,14,59
THA,gdp_current_usd,73,0,73
THA,total_exports_usd_k,73,0,73
THA,total_imports_usd_k,73,0,73
THA,population,73,0,73
THA,tariff_ahs_weighted,73,6,67
THA,tariff_mfn_weighted,73,6,67
THA,vax_q,73,0,73
THA,TCU,73,14,59
VNM,gdp_current_usd,73,0,73
VNM,total_exports_usd_k,73,0,73
VNM,total_imports_usd_k,73,0,73
VNM,population,73,0,73
VNM,tariff_ahs_weighted,73,6,67
VNM,tariff_mfn_weighted,73,6,67
VNM,vax_q,73,0,73
VNM,TCU,73,14,59
