date,reporter_iso,partner_iso,TC,bilateral_tariff,tariff_reduction
2010-12-31,AUS,BRN,0.0,11.721355474058786,0.0
2011-03-31,AUS,BRN,0.0,11.721355474058786,0.0
2011-06-30,AUS,BRN,0.0,11.721355474058786,0.0
2011-09-30,AUS,BRN,0.0,11.721355474058786,0.0
2011-12-31,AUS,BRN,0.0,11.721355474058786,0.0
2012-03-31,AUS,BRN,0.0,11.721355474058786,0.0
2012-06-30,AUS,BRN,0.0,11.721355474058786,0.0
2012-09-30,AUS,BRN,0.0,11.721355474058786,0.0
2012-12-31,AUS,BRN,0.0,11.721355474058786,0.0
2013-03-31,AUS,BRN,0.0,11.721355474058786,0.0
2013-06-30,AUS,BRN,0.0,11.721355474058786,0.0
2013-09-30,AUS,BRN,0.0,11.721355474058786,0.0
2013-12-31,AUS,BRN,0.0,11.721355474058786,0.0
2014-03-31,AUS,BRN,0.0,11.721355474058786,0.0
2014-06-30,AUS,BRN,0.0,11.721355474058786,0.0
2014-09-30,AUS,BRN,0.0,11.721355474058786,0.0
2014-12-31,AUS,BRN,0.0,11.721355474058786,0.0
2015-03-31,AUS,BRN,0.0,11.721355474058786,0.0
2015-06-30,AUS,BRN,0.0,11.721355474058786,0.0
2015-09-30,AUS,BRN,0.0,11.721355474058786,0.0
2015-12-31,AUS,BRN,0.0,11.721355474058786,0.0
2016-03-31,AUS,BRN,0.0,11.721355474058786,0.0
2016-06-30,AUS,BRN,0.0,11.721355474058786,0.0
2016-09-30,AUS,BRN,0.0,11.721355474058786,0.0
2016-12-31,AUS,BRN,0.0,11.721355474058786,0.0
2017-03-31,AUS,BRN,0.0,11.721355474058786,0.0
2017-06-30,AUS,BRN,0.0,11.721355474058786,0.0
2017-09-30,AUS,BRN,0.0,11.721355474058786,0.0
2017-12-31,AUS,BRN,0.0,11.721355474058786,0.0
2018-03-31,AUS,BRN,0.0,11.721355474058786,0.0
2018-06-30,AUS,BRN,0.0,11.721355474058786,0.0
2018-09-30,AUS,BRN,0.0,11.721355474058786,0.0
2018-12-31,AUS,BRN,0.0,11.721355474058786,0.0
2019-03-31,AUS,BRN,0.0,11.721355474058786,0.0
2019-06-30,AUS,BRN,0.0,11.721355474058786,0.0
2019-09-30,AUS,BRN,0.0,11.721355474058786,0.0
2019-12-31,AUS,BRN,0.0,11.721355474058786,0.0
2020-03-31,AUS,BRN,0.0,11.721355474058786,0.0
2020-06-30,AUS,BRN,0.0,11.721355474058786,0.0
2020-09-30,AUS,BRN,0.0,11.721355474058786,0.0
2020-12-31,AUS,BRN,0.0,11.721355474058786,0.0
2021-03-31,AUS,BRN,0.0,11.721355474058786,0.0
2021-06-30,AUS,BRN,0.0,11.721355474058786,0.0
2021-09-30,AUS,BRN,0.0,11.721355474058786,0.0
2021-12-31,AUS,BRN,0.0,11.721355474058786,0.0
2022-03-31,AUS,BRN,-0.0210464784613148,11.70030899559747,-0.0210464784613148
2022-06-30,AUS,BRN,-0.0210464784613148,11.70030899559747,-0.0210464784613148
2022-09-30,AUS,BRN,-0.0210464784613148,11.70030899559747,-0.0210464784613148
2022-12-31,AUS,BRN,-0.0210464784613148,11.70030899559747,-0.0210464784613148
2023-03-31,AUS,BRN,-0.0284258252639544,11.671883170333516,-0.0284258252639544
2023-06-30,AUS,BRN,-0.0284258252639544,11.671883170333516,-0.0284258252639544
2023-09-30,AUS,BRN,-0.0284258252639544,11.671883170333516,-0.0284258252639544
2023-12-31,AUS,BRN,-0.0284258252639544,11.671883170333516,-0.0284258252639544
2024-03-31,AUS,BRN,-0.0284258252639544,11.671883170333516,-0.0284258252639544
2024-06-30,AUS,BRN,-0.0284258252639544,11.671883170333516,-0.0284258252639544
2024-09-30,AUS,BRN,-0.0284258252639544,11.671883170333516,-0.0284258252639544
2024-12-31,AUS,BRN,-0.0284258252639544,11.671883170333516,-0.0284258252639544
2010-12-31,AUS,CHN,0.0,13.18014765922493,0.0
2011-03-31,AUS,CHN,0.0,13.18014765922493,0.0
2011-06-30,AUS,CHN,0.0,13.18014765922493,0.0
2011-09-30,AUS,CHN,0.0,13.18014765922493,0.0
2011-12-31,AUS,CHN,0.0,13.18014765922493,0.0
2012-03-31,AUS,CHN,0.0,13.18014765922493,0.0
2012-06-30,AUS,CHN,0.0,13.18014765922493,0.0
2012-09-30,AUS,CHN,0.0,13.18014765922493,0.0
2012-12-31,AUS,CHN,0.0,13.18014765922493,0.0
2013-03-31,AUS,CHN,0.0,13.18014765922493,0.0
2013-06-30,AUS,CHN,0.0,13.18014765922493,0.0
2013-09-30,AUS,CHN,0.0,13.18014765922493,0.0
2013-12-31,AUS,CHN,0.0,13.18014765922493,0.0
2014-03-31,AUS,CHN,0.0,13.18014765922493,0.0
2014-06-30,AUS,CHN,0.0,13.18014765922493,0.0
2014-09-30,AUS,CHN,0.0,13.18014765922493,0.0
2014-12-31,AUS,CHN,0.0,13.18014765922493,0.0
2015-03-31,AUS,CHN,0.0,13.18014765922493,0.0
2015-06-30,AUS,CHN,0.0,13.18014765922493,0.0
2015-09-30,AUS,CHN,0.0,13.18014765922493,0.0
2015-12-31,AUS,CHN,0.0,13.18014765922493,0.0
2016-03-31,AUS,CHN,0.0,13.18014765922493,0.0
2016-06-30,AUS,CHN,0.0,13.18014765922493,0.0
2016-09-30,AUS,CHN,0.0,13.18014765922493,0.0
2016-12-31,AUS,CHN,0.0,13.18014765922493,0.0
2017-03-31,AUS,CHN,0.0,13.18014765922493,0.0
2017-06-30,AUS,CHN,0.0,13.18014765922493,0.0
2017-09-30,AUS,CHN,0.0,13.18014765922493,0.0
2017-12-31,AUS,CHN,0.0,13.18014765922493,0.0
2018-03-31,AUS,CHN,0.0,13.18014765922493,0.0
2018-06-30,AUS,CHN,0.0,13.18014765922493,0.0
2018-09-30,AUS,CHN,0.0,13.18014765922493,0.0
2018-12-31,AUS,CHN,0.0,13.18014765922493,0.0
