date,iso3,year,quarter,vax_q
2005-12-31,AUS,2005,4,135722983.47
2006-03-31,AUS,2006,1,140183670.04782146
2006-06-30,AUS,2006,2,143768362.16716185
2006-09-30,AUS,2006,3,147036240.00134924
2006-12-31,AUS,2006,4,150543394.72
2007-03-31,AUS,2007,1,154781825.3529401
2007-06-30,AUS,2007,2,160456427.87983575
2007-09-30,AUS,2007,3,168203110.73466465
2007-12-31,AUS,2007,4,178567927.61
2008-03-31,AUS,2008,1,191331250.19122484
2008-06-30,AUS,2008,2,203910043.85230663
2008-09-30,AUS,2008,3,213039244.21576384
2008-12-31,AUS,2008,4,215129719.15
2009-03-31,AUS,2009,1,208380994.5183015
2009-06-30,AUS,2009,2,196182167.39793983
2009-09-30,AUS,2009,3,183322751.1923395
2009-12-31,AUS,2009,4,174965353.87
2010-03-31,AUS,2010,1,174838049.12466642
2010-06-30,AUS,2010,2,181732823.0873956
2010-09-30,AUS,2010,3,193544671.23618343
2010-12-31,AUS,2010,4,207856459.01
2011-03-31,AUS,2011,1,222222823.50202745
2011-06-30,AUS,2011,2,236004010.26329723
2011-09-30,AUS,2011,3,248284660.5476025
2011-12-31,AUS,2011,4,258002208.67999998
2012-03-31,AUS,2012,1,264423571.1548268
2012-06-30,AUS,2012,2,267885347.03180858
2012-09-30,AUS,2012,3,268819309.62967
2012-12-31,AUS,2012,4,267620134.91
2013-03-31,AUS,2013,1,264866439.49805206
2013-06-30,AUS,2013,2,261194432.4089563
2013-09-30,AUS,2013,3,257348587.16836876
2013-12-31,AUS,2013,4,254152356.16
2014-03-31,AUS,2014,1,252150608.19747898
2014-06-30,AUS,2014,2,250688136.366299
2014-09-30,AUS,2014,3,248922720.4721922
2014-12-31,AUS,2014,4,245996985.03
2015-03-31,AUS,2015,1,241418538.7961557
2015-06-30,AUS,2015,2,235485353.33300814
2015-09-30,AUS,2015,3,228850855.87027493
2015-12-31,AUS,2015,4,222282357.96
2016-03-31,AUS,2016,1,216562049.6175608
2016-06-30,AUS,2016,2,212390909.29005763
